,Route ID,Difference
406,135,0 days 00:00:30
407,135,0 days 00:01:09
408,135,0 days 00:01:02
409,135,0 days 00:00:00
410,135,0 days 00:02:57
411,135,0 days 00:04:20
412,135,0 days 00:01:56
413,135,0 days 00:03:09
414,135,0 days 00:02:33
415,135,0 days 00:01:21
416,135,0 days 00:01:37
417,135,0 days 00:02:15
418,135,0 days 00:02:03
419,135,0 days 00:03:56
420,135,0 days 00:05:06
421,135,0 days 00:02:31
422,135,0 days 00:03:24
423,135,0 days 00:03:33
424,135,0 days 00:00:00
425,135,0 days 00:01:54
426,135,0 days 00:02:12
427,135,0 days 00:04:36
428,135,0 days 00:03:35
429,135,0 days 00:05:12
430,135,0 days 00:05:58
431,135,0 days 00:03:04
432,135,0 days 00:03:58
433,135,0 days 00:02:57
434,135,0 days 00:02:19
435,135,0 days 00:00:06
436,135,0 days 00:00:27
437,135,0 days 00:00:32
438,135,0 days 00:00:39
439,135,-1 days +23:59:23
440,135,-1 days +23:59:34
441,135,0 days 00:00:31
442,135,0 days 00:00:05
443,135,0 days 00:00:38
444,135,-1 days +23:59:51
445,135,-1 days +23:59:42
446,135,0 days 00:00:00
447,135,0 days 00:00:34
448,135,0 days 00:00:50
449,135,0 days 00:01:00
450,135,0 days 00:00:00
451,135,0 days 00:00:40
452,135,0 days 00:01:15
453,135,-1 days +23:59:01
454,135,-1 days +23:59:28
455,135,-1 days +23:58:00
456,135,0 days 00:05:25
457,135,0 days 00:02:34
458,135,0 days 00:02:27
459,135,0 days 00:01:48
460,135,0 days 00:00:05
461,135,0 days 00:00:51
462,135,0 days 00:01:18
463,135,0 days 00:02:16
464,135,0 days 00:01:11
465,135,0 days 00:02:03
466,135,0 days 00:01:48
467,135,0 days 00:02:11
468,135,0 days 00:03:15
469,135,0 days 00:05:14
470,135,0 days 00:06:30
471,135,0 days 00:00:05
472,135,0 days 00:01:26
473,135,0 days 00:01:57
474,135,0 days 00:02:50
475,135,0 days 00:01:56
476,135,0 days 00:03:09
477,135,0 days 00:03:34
478,135,0 days 00:02:47
479,135,0 days 00:03:10
480,135,0 days 00:04:51
481,135,0 days 00:05:38
482,135,0 days 00:00:05
483,135,0 days 00:00:32
484,135,0 days 00:01:00
485,135,0 days 00:01:43
486,135,0 days 00:01:02
487,135,0 days 00:02:18
488,135,0 days 00:01:45
489,135,0 days 00:00:01
490,135,0 days 00:00:25
491,135,0 days 00:01:39
492,135,0 days 00:02:35
493,135,0 days 00:00:09
494,135,0 days 00:02:28
495,135,0 days 00:02:49
496,135,0 days 00:04:34
497,135,0 days 00:03:06
498,135,0 days 00:03:42
499,135,0 days 00:03:28
500,135,0 days 00:04:12
501,135,0 days 00:04:56
502,135,0 days 00:06:41
503,135,0 days 00:06:34
504,135,0 days 00:00:04
505,135,0 days 00:00:47
506,135,0 days 00:01:15
507,135,0 days 00:01:44
508,135,0 days 00:00:54
509,135,0 days 00:02:13
510,135,0 days 00:01:44
511,135,0 days 00:02:17
512,135,0 days 00:03:07
513,135,0 days 00:03:44
514,135,0 days 00:04:18
515,135,-1 days +23:59:25
516,135,0 days 00:00:06
517,135,0 days 00:00:56
518,135,0 days 00:01:25
519,135,0 days 00:01:48
520,135,0 days 00:00:59
521,135,0 days 00:02:15
522,135,0 days 00:02:35
523,135,0 days 00:03:56
524,135,0 days 00:05:22
525,135,0 days 00:06:18
526,135,0 days 00:06:17
527,135,0 days 00:00:09
528,135,0 days 00:01:49
529,135,0 days 00:02:20
530,135,0 days 00:01:48
531,135,0 days 00:00:34
532,135,0 days 00:01:43
533,135,0 days 00:01:35
534,135,0 days 00:01:50
535,135,0 days 00:03:21
536,135,0 days 00:03:15
537,135,0 days 00:02:25
538,135,0 days 00:00:05
539,135,0 days 00:00:52
540,135,0 days 00:01:16
541,135,0 days 00:01:01
542,135,0 days 00:00:32
543,135,0 days 00:02:13
544,135,0 days 00:02:10
545,135,0 days 00:02:00
546,135,0 days 00:03:05
547,135,0 days 00:03:40
548,135,0 days 00:03:30
549,135,0 days 00:00:12
550,135,0 days 00:01:05
551,135,0 days 00:01:09
552,135,0 days 00:00:04
553,135,0 days 00:00:46
554,135,0 days 00:00:20
555,135,-1 days +23:59:50
556,135,0 days 00:01:11
557,135,0 days 00:02:44
558,135,0 days 00:02:31
559,135,0 days 00:00:06
560,135,0 days 00:01:51
561,135,0 days 00:02:31
562,135,0 days 00:03:11
563,135,0 days 00:02:45
564,135,0 days 00:04:21
565,135,0 days 00:03:29
566,135,0 days 00:04:15
567,135,0 days 00:05:55
568,135,0 days 00:07:58
569,135,0 days 00:06:38
570,135,0 days 00:00:05
571,135,0 days 00:00:56
572,135,0 days 00:01:31
573,135,0 days 00:00:54
574,135,0 days 00:00:05
575,135,0 days 00:01:05
576,135,0 days 00:00:42
577,135,0 days 00:03:39
578,135,0 days 00:05:04
579,135,0 days 00:04:42
580,135,0 days 00:04:27
581,135,0 days 00:00:06
582,135,0 days 00:00:57
583,135,0 days 00:01:28
584,135,0 days 00:00:24
585,135,0 days 00:00:03
586,135,0 days 00:01:03
587,135,-1 days +23:59:55
588,135,0 days 00:01:12
