,Vehicle ID,Trip ID,Route ID,Direction,Schedule Relationship,Current Stop Sequence,Current Stop ID,Timestamp,Location
3952,A599,24101-2-21-170-1138,148,0.0,0.0,36.0,1277-01,2025-04-09 23:35:43,35.69808578491211 139.65753173828125
3953,F566,24006-1-21-170-1221,158,1.0,0.0,11.0,1122-01,2025-04-09 23:34:12,35.69566345214844 139.68922424316406
3954,E400,24006-2-21-170-1226,158,0.0,0.0,5.0,1388-02,2025-04-09 23:35:13,35.69727325439453 139.67950439453125
3955,T262,24302-1-21-170-1223,158,1.0,0.0,9.0,1399-01,2025-04-09 23:35:41,35.68887710571289 139.6549835205078
3956,B725,24302-2-21-170-1215,158,0.0,0.0,14.0,0781-02,2025-04-09 23:35:45,35.69546890258789 139.65447998046875
3957,B715,24001-1-06-170-1234,169,1.0,0.0,2.0,0863-01,2025-04-09 23:36:06,35.63444900512695 139.73806762695312
3958,L308,24001-1-06-170-1213,169,1.0,0.0,10.0,1357-02,2025-04-09 23:34:39,35.649986267089844 139.72235107421875
3959,H859,24001-1-06-170-1152,169,1.0,0.0,21.0,0574-02,2025-04-09 23:33:58,35.68355941772461 139.71974182128906
3960,T245,24001-2-21-170-1229,169,0.0,0.0,3.0,2001-01,2025-04-09 23:35:41,35.69123840332031 139.70416259765625
3961,F568,24001-2-21-170-1207,169,0.0,0.0,15.0,0014-01,2025-04-09 23:35:01,35.67133712768555 139.7246551513672
3962,H177,24001-2-06-170-1145,169,0.0,0.0,27.0,0867-02,2025-04-09 23:36:06,35.63878631591797 139.73487854003906
3963,F584,44201-1-37-170-1214,122,1.0,0.0,13.0,1529-05,2025-04-09 23:35:57,35.7219352722168 139.70632934570312
3964,G745,44201-1-37-170-1204,122,1.0,0.0,20.0,0799-02,2025-04-09 23:35:23,35.7138557434082 139.72604370117188
3965,F577,44201-1-37-170-1154,122,1.0,0.0,24.0,2549-01,2025-04-09 23:35:25,35.70572280883789 139.72720336914062
3966,F576,44201-1-37-170-1144,122,1.0,0.0,29.0,0102-02,2025-04-09 23:33:30,35.69490432739258 139.7248992919922
3967,F583,44201-1-37-170-1133,122,1.0,0.0,35.0,0334-03,2025-04-09 23:35:12,35.693267822265625 139.70191955566406
3968,F582,44201-2-37-170-1226,122,0.0,0.0,5.0,1235-02,2025-04-09 23:35:27,35.69133377075195 139.7129364013672
3969,L330,44201-2-37-170-1216,122,0.0,0.0,10.0,0141-02,2025-04-09 23:35:59,35.6984977722168 139.72579956054688
3970,E512,44201-2-37-170-1206,122,0.0,0.0,18.0,1531-01,2025-04-09 23:36:04,35.71505355834961 139.72450256347656
3971,K254,44201-2-37-170-1157,122,0.0,0.0,22.0,1530-01,2025-04-09 23:34:15,35.71987533569336 139.71099853515625
